Country,Total natural resources rents % of GDP,Oil rents % of GDP,Natural gas rents % of GDP,Coal rents % of GDP,Mineral rents % of GDP,Forest rents % of GDP
,,,,,,
,,,,,,
,,,,,,
Afghanistan,0.42852545,0.017869506,0.001953539,0.019397756,0,0.389304648
Albania,1.442601467,1.042183692,0.04945834,0.032257275,0.180213706,0.138488454
Algeria,22.59027035,14.46156546,7.995728621,0,0.003786768,0.129189496
American Samoa,0,0,0,0,0,0
Andorra,0,..,..,..,0,0
Angola,29.96743484,28.27443988,1.012349061,0,0,0.680645899
Antigua and Barbuda,0,0,0,0,0,0
Argentina,2.65308889,1.544382289,0.389397123,0.000157746,0.580266655,0.138885077
Armenia,7.054299824,0,0,2.75978E-06,6.786568475,0.267728589
Aruba,0.002066128,0,0,0,0,0.002066128
Australia,13.35787528,0.264201375,1.718406401,0.78645962,10.46577549,0.123032397
Austria,0.117855774,0.037803787,0.024058497,0,0,0.05599349
Azerbaijan,29.93839456,20.98337508,8.586746774,0,0.349496289,0.01877641
"Bahamas, The",0.014754006,0,0,0,0,0.014754006
Bahrain,16.64003372,10.93767564,5.701910511,0,0,0.00044757
Bangladesh,0.610069178,0.031577189,0.490054815,0.013252672,0,0.075184503
Barbados,0.328405869,0.3093629,0.007216418,0,0,0.011826551
Belarus,1.863302402,0.814105821,0.039361311,0,0,1.009835269
Belgium,0.044891429,0.031273568,0.000136779,0,0,0.013481082
Belize,0.523036537,0.280281956,0.001651245,0,0,0.241103335
Benin,2.304420283,0,0,0,0,2.304420283
Bermuda,0,0,0,0,0,0
Bhutan,2.73325446,0,0,0,0.075034793,2.658219667
Bolivia,9.467694196,1.263351874,1.854429028,0,5.910056033,0.43985726
Bosnia and Herzegovina,0.813398711,0,0,0.301983938,0.039780043,0.471634731
Botswana,1.038534439,0,0,0.500235147,0.242401016,0.295898277
Brazil,7.941111999,2.604457337,0.069994499,0.014315235,4.488940185,0.763404743
Brunei Darussalam,24.28001394,10.37340344,13.85774602,0,0,0.048864476
Bulgaria,0.917744336,0.019392646,0.006497063,0.126365578,0.593627371,0.171861677
Burkina Faso,20.13540144,0,0,0,15.45260048,4.682800954
Burundi,13.95703399,0,0,0,0,13.95703399
Cambodia,0.835283716,0.041031757,0,0.004805445,0,0.789446514
Cameroon,5.525982684,2.361599532,0.584760671,0,0,2.57962248
Canada,4.949055814,2.829785289,0.793958418,0.073021113,1.184260348,0.068030646
Cabo Verde,17.65772345,0,0,17.17999748,0,0.477725972
Cayman Islands,0,0,0,0,0,0
Central African Republic,10.26019576,0,0,0,0.768048037,9.492147721
Chad,21.34293126,16.75156616,0.013490947,0,0,4.577874155
Channel Islands,..,..,..,..,..,..
Chile,16.90441688,0.012698324,0.021359876,0.000151977,16.22742658,0.642780125
China,1.707564883,0.308578757,0.210524604,0.607568894,0.510049245,0.070843382
"Hong Kong SAR, China",0.000992609,0.000356293,0,0,0,0.000636316
"Macao SAR, China",0.000724556,0,0,0,0,0.000724556
Colombia,5.323964454,3.424024876,0.175988272,0.725814104,0.910145515,0.087991687
Comoros,1.628434134,0,0,0,0,1.628434134
"Congo, Dem. Rep.",38.82726652,0.649836903,0,0,28.8127978,9.364631817
